Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
Number of pregnant women tested for Syphilis,2019-2020,march,716569,685446,31123,149861,566708,346,346,,7,339,28242,27870,372,6664,21578,1209,1109,100,11,1198,17733,17223,510,438,17295,20759,20509,250,1254,19505,1994,1994,,871,1123,17019,15438,1581,2335,14684,1094,1094,,0,1094,199,199,0,61,138,12961,12493,468,5614,7347,1562,1281,281,215,1347,28606,28242,364,6576,22030,25014,24992,22,3428,21586,4450,4349,101,0,4450,6236,6177,59,652,5584,17755,15692,2063,2368,15387,66852,60903,5949,17430,49422,12803,8059,4744,3121,9682,104,104,,,104,,,,,,,,,,,47238,45435,1803,9859,37379,56672,50875,5797,24299,32373,1141,960,181,45,1096,4524,4097,427,70,4454,996,802,194,205,791,1254,1053,201,173,1081,30936,30187,749,2083,28853,1329,1319,10,523,806,21503,21445,58,3260,18243,52967,51127,1840,14693,38274,408,408,,151,257,18536,18536,,7369,11167,16137,16131,6,7976,8161,3021,3021,0,226,2795,162620,160089,2531,15419,147201,4495,4453,42,1052,3443,27854,27434,420,11413,16441
Number of pregnant women tested found sero positive for Syphilis,2019-2020,march,2318,2250,68,285,2033,1,1,,0,1,37,37,0,1,36,14,14,0,0,14,31,31,0,21,10,78,78,0,6,72,0,0,,0,0,29,29,0,3,26,0,0,,0,0,0,0,0,0,0,13,12,1,3,10,2,2,0,0,2,966,966,0,16,950,40,40,0,27,13,2,2,0,0,2,232,232,0,0,232,11,11,0,1,10,154,151,3,51,103,8,6,2,1,7,1,1,,,1,,,,,,,,,,,149,101,48,52,97,31,30,1,13,18,0,0,0,0,0,27,20,7,0,27,0,0,0,0,0,6,5,1,1,5,16,16,0,3,13,2,2,0,0,2,12,12,0,2,10,70,70,0,11,59,1,1,,1,0,121,121,,44,77,7,7,0,1,6,7,7,0,0,7,237,232,5,23,214,1,1,0,0,1,12,12,0,4,8
Number of syphilis positive pregnant women treated for Syphilis,2019-2020,march,830,778,52,246,584,0,0,,0,0,2,2,0,0,2,38,38,0,0,38,7,7,0,0,7,6,6,0,6,0,0,0,,0,0,15,15,0,3,12,0,0,,0,0,0,0,0,0,0,11,10,1,3,8,0,0,0,0,0,210,210,0,34,176,8,8,0,1,7,23,23,0,0,23,3,3,0,0,3,3,3,0,0,3,135,132,3,110,25,18,18,0,1,17,0,0,,,0,,,,,,,,,,,59,19,40,42,17,28,27,1,11,17,0,0,0,0,0,25,19,6,0,25,0,0,0,0,0,4,3,1,1,3,12,12,0,2,10,1,1,0,0,1,4,4,0,1,3,106,106,0,5,101,1,1,,1,0,3,3,,0,3,2,2,0,1,1,4,4,0,0,4,90,90,0,21,69,0,0,0,0,0,12,12,0,3,9
Number of babies diagnosed with Congenital Syphilis,2019-2020,march,379,377,2,34,345,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,32,17,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,2,39,0,0,0,0,0,0,0,,,0,,,,,,,,,,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,17,17,0,0,17,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,259,259,0,0,259,0,0,0,0,0,0,0,0,0,0
Number of babies treated for congenital Syphilis,2019-2020,march,124,122,2,0,124,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,1,1,0,0,1,0,0,,,0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,68,68,0,0,68,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,44,0,0,0,0,0,0,0,0,0,0
Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),2019-2020,march,14060,14054,6,799,13261,1,1,,0,1,82,82,,1,81,35,35,,0,35,1333,1328,5,6,1327,3948,3948,,339,3609,0,0,,0,,327,327,0,1,326,0,0,,0,0,0,0,,0,0,4,4,0,4,0,0,0,0,0,0,220,219,1,32,188,48,48,,16,32,96,96,,0,96,52,52,,0,52,682,682,0,7,675,66,66,,42,24,12,12,,2,10,0,0,,,0,,,,,,,,,,,448,448,,5,443,269,269,,30,239,232,232,,0,232,111,111,0,0,111,34,34,,2,32,185,185,0,3,182,669,669,,7,662,0,0,,0,0,142,142,,96,46,556,556,,32,524,3,3,,0,3,21,21,,21,0,18,18,,0,18,4,4,,0,4,4122,4122,,128,3994,334,334,,25,309,6,6,,0,6
Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),2019-2020,march,67611,67554,57,2211,65400,7,7,,0,7,63,63,,0,63,67,67,,0,67,2691,2634,57,13,2678,17006,17006,,790,16216,1,1,,1,,417,417,0,6,411,3,3,,0,3,0,0,,0,0,588,588,0,544,44,1,1,0,1,0,90,90,0,18,72,1328,1328,,120,1208,391,391,,1,390,899,899,,0,899,1125,1125,0,17,1108,43,43,,12,31,32,32,,2,30,0,0,,,0,,,,,,,,,,,3315,3315,,16,3299,462,462,,168,294,161,161,,0,161,2904,2904,0,8,2896,149,149,,1,148,103,103,0,0,103,566,566,,9,557,1,1,,0,1,148,148,,75,73,946,946,,40,906,3,3,,1,2,10,10,,1,9,8,8,,2,6,204,204,,2,202,31858,31858,,288,31570,923,923,,28,895,1098,1098,,47,1051
Number of PW given Tablet Misoprostol during home delivery,2019-2020,march,5134,5106,28,42,5092,0,0,,0,0,15,15,,0,15,17,17,,0,17,1370,1342,28,7,1363,426,426,,14,412,0,0,,0,,77,77,0,0,77,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,6,154,5,5,,4,1,14,14,,0,14,131,131,,0,131,260,260,0,0,260,24,24,,0,24,0,0,,0,0,0,0,,,0,,,,,,,,,,,398,398,,2,396,211,211,,3,208,9,9,,,9,42,42,0,0,42,0,0,,0,0,3,3,0,0,3,455,455,,0,455,0,0,,0,0,3,3,,2,1,76,76,,0,76,0,0,,0,0,0,0,,0,0,0,0,,0,0,2,2,,0,2,1417,1417,,4,1413,19,19,,0,19,0,0,,0,0
Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,2019-2020,march,76170,76071,99,2215,73955,3,3,,0,3,124,124,,1,123,61,61,,0,61,4450,4351,99,19,4431,17479,17479,,1141,16338,1,1,,1,,582,582,0,7,575,2,2,,0,2,0,0,,0,0,436,436,0,413,23,0,0,0,0,0,256,256,0,28,228,1027,1027,,102,925,365,365,,0,365,602,602,,0,602,1329,1329,0,24,1305,96,96,,1,95,23,23,,2,21,0,0,,,0,,,,,,,,,,,2944,2944,,17,2927,579,579,,128,451,279,279,,0,279,1868,1868,0,10,1858,52,52,,3,49,166,166,0,5,161,894,894,,11,883,0,0,,0,0,209,209,,136,73,797,797,,23,774,3,3,,1,2,2,2,,2,0,68,68,,0,68,168,168,,1,167,39329,39329,,63,39266,1164,1164,,41,1123,812,812,,35,777
Number of Institutional Deliveries conducted (Including C-Sections),2019-2020,march,1527869,1038681,489188,381550,1146319,290,290,,0,290,51876,19361,32515,34908,16968,1356,1175,181,0,1356,40719,34643,6076,3326,37393,120216,108327,11889,6794,113422,2053,2053,,554,1499,38496,28848,9648,6818,31678,696,631,65,65,631,308,246,62,62,246,18499,15201,3298,3043,15456,1163,854,309,185,978,80785,30607,50178,37221,43564,35254,20155,15099,15902,19352,6442,5342,1100,0,6442,17599,16290,1309,1356,16243,52119,37540,14579,2259,49860,72733,48053,24680,27818,44915,36350,11601,24749,5589,30761,74,74,,,74,,,,,,,,,,,102238,92779,9459,22027,80211,132176,64374,67802,18537,113639,2322,1828,494,274,2048,4245,3366,879,0,4245,1382,1079,303,255,1127,1241,903,338,267,974,46668,38520,8148,713,45955,2529,1841,688,1758,771,26278,12665,13613,7897,18381,109542,67664,41878,45227,64315,533,421,112,239,294,71021,37001,34020,42521,28500,43533,20486,23047,18020,25513,3670,3320,350,486,3184,310163,241638,68525,36150,274013,10929,7058,3871,4597,6332,82371,62447,19924,36682,45689
Out of total institutional deliveries number of women discharged within 48 hours of delivery,2019-2020,march,511141,430779,80362,63898,447243,163,163,,0,163,6186,4551,1635,1591,4595,890,806,84,0,890,12778,12007,771,230,12548,95125,92168,2957,6160,88965,659,659,,19,640,4828,4698,130,45,4783,179,179,,0,179,164,164,0,0,164,6928,5944,984,1509,5419,0,0,0,0,0,31814,14731,17083,12794,19020,18787,12564,6223,6774,12013,3683,3419,264,0,3683,7338,7225,113,177,7161,38459,30043,8416,888,37571,4662,3958,704,766,3896,1962,342,1620,12,1950,20,20,,,20,,,,,,,,,,,9887,9210,677,1526,8361,26534,16920,9614,3586,22948,1273,1145,128,19,1254,1787,1618,169,0,1787,706,706,0,2,704,858,692,166,142,716,16636,15286,1350,78,16558,49,24,25,25,24,6251,4572,1679,1414,4837,11327,7159,4168,7218,4109,154,124,30,91,63,1042,532,510,552,490,10987,8177,2810,4816,6171,541,538,3,3,538,172329,156016,16313,8505,163824,5824,4262,1562,2564,3260,10331,10157,174,2392,7939
Number of newborns received 6 HBNC  visits after Institutional Delivery,2019-2020,march,695368,657314,38054,78780,616588,79,79,,2,77,27025,25544,1481,3387,23638,144,144,,0,144,43701,42334,1367,1916,41785,63143,63143,,4571,58572,984,984,,984,,19817,16854,2963,3028,16789,479,479,,126,353,22,22,0,0,22,8381,8334,47,8063,318,1,1,0,0,1,49449,36945,12504,17563,31886,10054,10054,0,2074,7980,4903,4896,7,4,4899,6893,6816,77,125,6768,22383,21076,1307,176,22207,29670,27502,2168,5926,23744,2449,906,1543,316,2133,43,43,,,43,,,,,,,,,,,36856,36239,617,9174,27682,24352,23969,383,4096,20256,928,928,0,10,918,1816,1816,0,106,1710,223,223,0,18,205,200,200,0,15,185,38617,38138,479,2269,36348,251,251,0,197,54,16025,15293,732,2796,13229,15274,14027,1247,2196,13078,284,284,,69,215,455,455,,182,273,13456,12138,1318,3943,9513,2833,2833,0,305,2528,202631,192851,9780,3275,199356,7662,7662,0,1815,5847,43885,43851,34,53,43832
Total C -Section deliveries performed,2019-2020,march,314730,148713,166017,133230,181500,82,82,,0,82,17339,6291,11048,11993,5346,269,199,70,0,269,9806,5468,4338,2938,6868,2948,1935,1013,50,2898,700,700,,106,594,6778,2011,4767,3515,3263,198,162,36,36,162,103,82,21,21,82,6357,4287,2070,1218,5139,458,269,189,124,334,13165,3980,9185,7468,5697,6651,2953,3698,3845,2806,1598,1032,566,0,1598,7444,6260,1184,1165,6279,4360,1862,2498,680,3680,24532,13714,10818,11488,13044,14887,4633,10254,2669,12218,25,25,,,25,,,,,,,,,,,11336,7345,3991,4813,6523,32499,14568,17931,4876,27623,690,437,253,187,503,675,235,440,0,675,260,143,117,85,175,231,113,118,112,119,11051,5728,5323,236,10815,798,509,289,458,340,10711,3611,7100,3854,6857,15015,7501,7514,10662,4353,198,198,,148,50,32400,14467,17933,21936,10464,23491,9067,14424,11010,12481,1026,685,341,308,718,28547,11542,17005,10198,18349,1525,927,598,462,1063,26577,15692,10885,16569,10008
"C-sections, performed at night (8 PM- 8 AM)",2019-2020,march,55076,37538,17538,17118,37958,6,6,,0,6,3056,1245,1811,1967,1089,42,38,4,0,42,2371,1157,1214,846,1525,524,468,56,2,522,260,260,,14,246,2973,573,2400,2002,971,54,54,,0,54,19,19,0,0,19,1889,1521,368,311,1578,55,54,1,0,55,2137,1213,924,692,1445,789,663,126,159,630,203,191,12,0,203,1837,1715,122,135,1702,496,369,127,57,439,5647,3383,2264,2270,3377,1368,580,788,100,1268,4,4,,,4,,,,,,,,,,,2405,1869,536,586,1819,6688,3830,2858,674,6014,120,65,55,52,68,119,44,75,0,119,41,14,27,21,20,29,16,13,13,16,2147,1093,1054,26,2121,253,214,39,152,101,829,741,88,82,747,2671,2096,575,2338,333,0,0,,0,0,4404,4384,20,729,3675,2744,2006,738,1311,1433,88,70,18,11,77,3041,2025,1016,745,2296,81,81,0,24,57,5686,5477,209,1799,3887
Live Birth - Male,2019-2020,march,828415,578822,249593,199001,629414,140,140,,0,140,26836,10153,16683,17882,8954,755,662,93,0,755,22667,19440,3227,1756,20911,70894,67617,3277,4187,66707,1071,1071,,300,771,19739,14826,4913,3481,16258,365,332,33,33,332,166,138,28,28,138,9825,8057,1768,1931,7894,609,455,154,90,519,42653,16440,26213,19715,22938,18897,11100,7797,8278,10619,3517,2960,557,1,3516,9417,8741,676,702,8715,28615,20944,7671,1245,27370,37882,24762,13120,14641,23241,18801,5940,12861,2882,15919,37,37,,,37,,,,,,,,,,,54982,50088,4894,11373,43609,68958,33663,35295,10000,58958,1382,1151,231,126,1256,3712,3217,495,5,3707,774,624,150,126,648,789,613,176,138,651,24531,20246,4285,367,24164,1261,942,319,874,387,13785,6688,7097,4174,9611,57388,35763,21625,23882,33506,281,228,53,131,150,36263,18942,17321,21614,14649,22658,10899,11759,9321,13337,1947,1771,176,241,1706,177926,143461,34465,18428,159498,6261,4266,1995,2381,3880,42631,32445,10186,18668,23963
Live Birth - Female,2019-2020,march,772738,539079,233659,186543,586195,157,157,,0,157,25176,9332,15844,17042,8134,691,605,86,0,691,21647,18565,3082,1728,19919,64296,61779,2517,4005,60291,969,969,,254,715,19466,14380,5086,3327,16139,336,303,33,33,303,149,114,35,35,114,9164,7554,1610,1700,7464,566,409,157,97,469,38839,14855,23984,17565,21274,17460,10199,7261,7721,9739,3391,2840,551,0,3391,8881,8242,639,659,8222,25593,18676,6917,1084,24509,35179,23551,11628,13143,22036,17792,5510,12282,2780,15012,37,37,,,37,,,,,,,,,,,51245,46539,4706,11014,40231,64055,31255,32800,8925,55130,1330,1070,260,150,1180,3498,3059,439,3,3495,779,630,149,128,651,714,563,151,121,593,22634,18800,3834,361,22273,1295,880,415,912,383,12660,6204,6456,3875,8785,53900,33932,19968,22090,31810,265,206,59,112,153,34712,17983,16729,21005,13707,21890,10160,11730,8854,13036,1904,1728,176,251,1653,165684,133578,32106,17277,148407,5990,4071,1919,2335,3655,40394,30344,10050,17957,22437
Number of Pre term newborns ( < 37 weeks of pregnancy),2019-2020,march,57251,52234,5017,7719,49532,30,30,,0,30,1082,996,86,155,927,40,33,7,0,40,1977,1843,134,63,1914,2190,2190,0,142,2048,192,192,,32,160,1742,1632,110,91,1651,80,80,,0,80,12,12,0,0,12,1733,1341,392,228,1505,80,80,0,0,80,2566,2241,325,358,2208,1855,1792,63,144,1711,355,342,13,0,355,584,573,11,11,573,1212,1046,166,161,1051,2673,2137,536,511,2162,1076,566,510,79,997,6,6,,,6,,,,,,,,,,,5559,5222,337,1052,4507,4553,3254,1299,591,3962,20,9,11,8,12,154,112,42,0,154,29,25,4,4,25,28,24,4,4,24,2855,2518,337,63,2792,53,52,1,1,52,1173,1162,11,120,1053,2901,2557,344,1276,1625,4,4,0,1,3,1382,1382,0,215,1167,958,929,29,52,906,165,157,8,5,160,10729,10576,153,101,10628,249,249,0,86,163,6954,6870,84,2165,4789
Still Birth,2019-2020,march,19581,17044,2537,2996,16585,8,8,,0,8,428,308,120,153,275,23,21,2,0,23,907,816,91,49,858,1453,1437,16,121,1332,41,41,,5,36,739,664,75,26,713,12,8,4,4,8,0,0,0,0,0,323,311,12,29,294,8,6,2,1,7,930,700,230,171,759,462,382,80,89,373,67,67,0,0,67,406,404,2,3,403,635,576,59,8,627,780,683,97,116,664,124,63,61,11,113,0,0,,,0,,,,,,,,,,,1678,1553,125,279,1399,1108,875,233,134,974,15,10,5,0,15,185,154,31,0,185,14,10,4,1,13,34,18,16,16,18,1109,1018,91,12,1097,36,32,4,23,13,320,209,111,60,260,1827,1272,555,807,1020,8,7,1,1,7,544,337,207,241,303,181,138,43,41,140,69,69,0,2,67,3753,3591,162,115,3638,111,104,7,23,88,1243,1152,91,455,788
Abortion (spontaneous),2019-2020,march,49737,44793,4944,5966,43771,7,7,,0,7,629,616,13,64,565,33,32,1,0,33,1894,1763,131,136,1758,225,204,21,14,211,73,73,,2,71,2266,2210,56,138,2128,55,55,0,0,55,18,18,0,0,18,1750,1321,429,404,1346,55,39,16,4,51,2134,1744,390,291,1843,1280,1274,6,78,1202,460,454,6,0,460,735,706,29,34,701,1483,1407,76,37,1446,2555,2236,319,433,2122,974,386,588,82,892,6,6,,,6,,,,,,,,,,,3967,3559,408,604,3363,4060,2570,1490,409,3651,120,95,25,6,114,377,273,104,3,374,59,57,2,5,54,23,16,7,7,16,4144,4020,124,94,4050,54,49,5,5,49,1485,1183,302,214,1271,5186,4929,257,1375,3811,39,39,0,9,30,3331,3331,0,196,3135,322,301,21,74,248,144,144,0,2,142,2766,2688,78,42,2724,268,268,0,110,158,6760,6720,40,1094,5666
MTP up to 12 weeks of pregnancy,2019-2020,march,52908,29430,23478,18100,34808,14,14,,0,14,162,147,15,55,107,178,104,74,0,178,7238,6722,516,296,6942,597,223,374,24,573,93,93,,48,45,833,719,114,161,672,26,11,15,15,11,5,5,0,0,5,1029,311,718,643,386,58,18,40,32,26,843,620,223,292,551,3037,1021,2016,2112,925,222,146,76,0,222,525,474,51,43,482,516,356,160,23,493,2079,1285,794,1028,1051,719,118,601,210,509,2,2,,,2,,,,,,,,,,,2775,2020,755,1133,1642,10499,2436,8063,1858,8641,167,126,41,34,133,18,18,0,0,18,5,5,0,0,5,57,35,22,16,41,1162,1019,143,31,1131,77,34,43,54,23,1688,344,1344,855,833,1906,1444,462,763,1143,6,6,,1,5,9000,3814,5186,6172,2828,79,62,17,42,37,203,203,0,8,195,3165,2712,453,205,2960,289,282,7,161,128,3636,2481,1155,1785,1851
MTP more than 12 weeks of pregnancy,2019-2020,march,3899,2216,1683,1201,2698,1,1,,0,1,55,52,3,12,43,9,1,8,0,9,89,76,13,0,89,95,19,76,0,95,20,20,,0,20,37,29,8,8,29,0,0,0,0,0,0,0,0,0,0,155,99,56,37,118,8,4,4,2,6,129,100,29,54,75,89,56,33,33,56,67,62,5,0,67,74,74,0,0,74,8,8,0,0,8,500,274,226,213,287,80,12,68,44,36,0,0,,,0,,,,,,,,,,,154,127,27,70,84,783,181,602,85,698,11,4,7,6,5,3,3,0,0,3,11,11,0,0,11,17,0,17,16,1,38,30,8,0,38,17,11,6,16,1,70,45,25,20,50,90,70,20,35,55,0,0,,0,0,639,349,290,336,303,47,47,0,13,34,2,2,0,0,2,262,237,25,26,236,9,9,0,9,0,330,203,127,166,164
Post Abortion/ MTP Complications Identified,2019-2020,march,1263,1017,246,136,1127,0,0,,0,0,6,6,0,0,6,0,0,0,0,0,14,11,3,0,14,34,34,0,0,34,0,0,,0,0,21,18,3,3,18,0,0,,0,0,0,0,0,0,0,19,19,0,12,7,20,20,0,0,20,16,12,4,5,11,3,3,0,0,3,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,14,5,9,10,4,6,0,6,0,6,0,0,,,0,,,,,,,,,,,282,232,50,78,204,36,2,34,0,36,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,41,41,0,0,41,0,0,0,0,0,0,0,0,0,0,42,42,0,2,40,0,0,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,595,458,137,3,592,0,0,0,0,0,106,106,0,23,83
Post Abortion/ MTP Complications Treated,2019-2020,march,1164,971,193,51,1113,0,0,,0,0,3,3,0,0,3,0,0,0,0,0,161,159,2,0,161,34,34,0,0,34,0,0,,0,0,16,13,3,3,13,0,0,,0,0,0,0,0,0,0,13,13,0,12,1,20,20,0,0,20,2,1,1,1,1,3,3,0,0,3,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,2,2,0,1,1,0,0,0,0,0,0,0,,,0,,,,,,,,,,,208,208,0,28,180,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,45,45,0,0,45,0,0,0,0,0,0,0,0,0,0,27,27,0,0,27,0,0,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,351,351,0,0,351,0,0,0,0,0,262,87,175,6,256
Number of women provided with post abortion/ MTP contraception,2019-2020,march,13602,11688,1914,3509,10093,11,11,,0,11,26,26,0,0,26,12,12,0,0,12,734,734,0,0,734,20,20,0,4,16,64,64,,22,42,187,168,19,29,158,1,1,,0,1,0,0,0,0,0,1127,901,226,274,853,17,16,1,1,16,220,190,30,25,195,88,88,0,2,86,15,15,0,0,15,57,57,0,0,57,102,102,0,0,102,837,812,25,224,613,33,32,1,0,33,1,1,,,1,,,,,,,,,,,1278,1078,200,428,850,1326,900,426,384,942,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,7,5,2,2,5,717,717,0,0,717,35,26,9,9,26,106,79,27,11,95,1189,1039,150,429,760,0,0,,0,0,2289,1818,471,960,1329,4,4,0,4,0,0,0,0,0,0,1255,1230,25,25,1230,58,58,0,20,38,1777,1475,302,656,1121
Number of newborns weighed at birth,2019-2020,march,1521007,1088672,432335,352742,1168265,276,276,,0,276,50981,18473,32508,34656,16325,1430,1251,179,0,1430,43342,37348,5994,3270,40072,130848,126912,3936,7871,122977,2042,2042,,554,1488,38507,28914,9593,6806,31701,692,634,58,58,634,315,252,63,63,252,17028,14056,2972,3329,13699,1175,864,311,187,988,78363,31524,46839,35504,42859,35644,20938,14706,15820,19824,6888,5780,1108,1,6887,18027,16726,1301,1352,16675,51344,37087,14257,2329,49015,70350,46948,23402,26664,43686,34332,10746,23586,5090,29242,74,74,,,74,,,,,,,,,,,102552,94128,8424,21016,81536,130149,64239,65910,18547,111602,2692,2201,491,276,2416,6804,5990,814,8,6796,1501,1202,299,255,1246,1478,1151,327,259,1219,47139,39036,8103,728,46411,1947,1833,114,1166,781,26182,12864,13318,7822,18360,99823,69054,30769,42105,57718,545,433,112,243,302,70975,36924,34051,42620,28355,38057,19524,18533,14158,23899,3782,3430,352,488,3294,320912,267453,53459,26631,294281,11290,7839,3451,4497,6793,73521,60526,12995,28369,45152
Number of newborns having weight less than 2.5 kg,2019-2020,march,177234,147458,29776,33757,143477,41,41,,0,41,2866,2012,854,1177,1689,66,56,10,0,66,5629,4748,881,507,5122,12220,12155,65,656,11564,468,468,,67,401,4145,3617,528,274,3871,258,246,12,12,246,52,49,3,3,49,4009,3460,549,402,3607,226,207,19,13,213,10514,6988,3526,3522,6992,3922,3200,722,921,3001,884,797,87,0,884,968,897,71,71,897,3073,2869,204,62,3011,7734,6272,1462,1811,5923,3874,1587,2287,513,3361,5,5,,,5,,,,,,,,,,,15141,14379,762,2865,12276,16102,11333,4769,2715,13387,120,93,27,22,98,481,355,126,0,481,63,44,19,15,48,55,27,28,27,28,9138,7923,1215,163,8975,282,225,57,184,98,1765,1374,391,220,1545,13190,10262,2928,5422,7768,61,36,25,21,40,8924,5472,3452,4519,4405,2589,1982,607,1021,1568,432,410,22,56,376,32872,30046,2826,1418,31454,662,659,3,348,314,14403,13164,1239,4730,9673
Number of Newborns breast fed within 1 hour of birth ,2019-2020,march,1431249,1041708,389541,313359,1117890,244,244,,0,244,50058,18024,32034,34094,15964,1236,1075,161,0,1236,42394,36661,5733,3062,39332,129516,125528,3988,7829,121687,1625,1625,,526,1099,37432,28354,9078,6291,31141,674,608,66,66,608,223,189,34,34,189,13128,11710,1418,2524,10604,889,680,209,105,784,74221,29332,44889,32628,41593,33368,19917,13451,14459,18909,6241,5390,851,1,6240,16386,15123,1263,1314,15072,50709,36727,13982,2324,48385,67198,44865,22333,25510,41688,32134,10333,21801,4658,27476,74,74,,,74,,,,,,,,,,,97741,90059,7682,19966,77775,122424,60428,61996,16707,105717,2224,1780,444,264,1960,6526,5832,694,8,6518,1506,1215,291,254,1252,1006,814,192,167,839,45462,37824,7638,728,44734,1728,1614,114,1009,719,22073,11368,10705,6661,15412,92317,64085,28232,37776,54541,273,273,,90,183,52414,31330,21084,28824,23590,34874,18156,16718,12352,22522,3494,3190,304,486,3008,316066,263170,52896,27440,288626,10388,6973,3415,3969,6419,62983,57138,5845,21233,41750
